comment_id,video_id,published_at,like_count,class,brand,format,attribute,text
Ugy0C8wfGPBdLMEbdX54AaABAg,c8Z8OGHw_bA,2026-03-19,0,b,,,,한국어버전도 올려주세요
UgzCYgX59vVnQ2aITsN4AaABAg,457MHSyXluI,2026-07-22,2,b,,에센스/세럼/앰플;이너뷰티;세트/기획,,콜라겐앰플세트 원합니다아!!
UgxnHCGuKh7hvyvvyuZ4AaABAg,zCHCoujbWoI,2026-07-22,1,b,,,,영상 더 자주 만들어주세요~!~!!
UgwDlc5PzQH-hShR9Y14AaABAg,4PvnNlPTU2s,2026-05-23,14,b,,,,이날 메이크업 얼른 올려주세요 ㅠㅠㅠㅠㅠㅍ
UgzDrp5i9nsILDK6epp4AaABAg,4PvnNlPTU2s,2026-05-23,19,b,,,,오늘 메이크업 듀토리얼 꼭 올려주세요🥹🥹🥹🥹
UgyjuQWypvxxB4D2pdB4AaABAg,4PvnNlPTU2s,2026-05-23,2,b,,블러셔,,와 치크 모음 리뷰 미쳤다… 누가 이렇게 정성스럽게 리뷰해줘ㅜㅠ
UgxWmVdD7N5n5t1EOzx4AaABAg,RJEm9WQ3z5A,2026-03-23,12,b,,,,나 이거 진짜 사고싶었는데 울언니가 추천해주면 고민하지 않고 바로 사야함
UgymLr4S_hQaX4IGdBh4AaABAg,RJEm9WQ3z5A,2026-03-23,2,b,,쿠션,,루나 쿠션 새로나온거 리뷰 ㅠㅠㅠ해주세욘💗💗💗💗💗💗💗💗
UgzcoGo_-4MWFCvSsix4AaABAg,4PvnNlPTU2s,2026-05-23,5,b,,,,오늘 메이크업 튜토리얼도 넘 궁금해요 !!!!
UgyM1VvSUvKLdM-2Wz94AaABAg,4PvnNlPTU2s,2026-05-23,5,b,,프라이머/베이스;블러셔,색상/호수 확장,으앙🥺 아니 반반 피부 호수 다르게 베이스해서 블러셔 표현 비교까지 해주는 거 진짜...
UgwAwyytG5uZ2MREtqN4AaABAg,4PvnNlPTU2s,2026-05-23,3,b,,,,리뷰영상 부탁드려요^^
Ugx--en6UXpRwiXf8dt4AaABAg,4PvnNlPTU2s,2026-06-23,0,b,,,,이날 메이크업 영상 주세요 ..
UgzCSIgmClhxrIErlT94AaABAg,4PvnNlPTU2s,2026-05-23,1,b,,프라이머/베이스,,모아서 리뷰해주시다니💗 반반 베이스로 보여주는 거 너무 좋아요 !
UgwFEyfY_xsPnXriOVN4AaABAg,h7bAb475CzY,2026-07-25,3,b,,,,앞으로도 꾸준히 활동해주세요 💙
UgxdXW18kTc8e147ezh4AaABAg,h7bAb475CzY,2026-07-25,3,b,,선스틱,제형(스틱/쿠션/젤/밤/스프레이),혹시 여름 썬스틱 이런 주제로도 한 번 더 다뤄주실 계획 있으신가요?
UgzShQ5SJjytid0YdG14AaABAg.AYd-hK9SSh_AYd0qi4TiiH,8_zSonq7_SY,2026-07-22,1,b,,,,피부결 정돈이랑 항산화 케어까지 한번에 해줘서 더 궁금해졌어요
Ugwyv3bw2iXGX1sBujB4AaABAg,6XOBo7ozII8,2026-07-22,1,b,닥터오라클,에센스/세럼/앰플;샴푸/린스/트리트먼트;세트/기획,,"요즘 점점 더 더워지고 그래서 매일 감아도 머리에 냄새날까봐 두피,모발관리 열심히 하고 있었는더ㅣ 닥터오라클세트의 쿨링스왑으로 두피 시원하게 하고 샴푸로 머리감고 헤어 에센스로 머리정리 해주면 딱좋을거같네요!!"
UgwCLCe8Ybde_uBKT0x4AaABAg,6XOBo7ozII8,2026-07-22,0,b,,,,매달 구독자 이벤트까지 준비해 주시는 따뜻한 마음이 느껴져서 구독자로서 항상 감사하게 보고 있습니다🙇‍♀️ 앞으로도 좋은 제품 많이 소개해 주세요!💗
Ugzt2OcXHqCjTRPmYdB4AaABAg,nGsSqaQBZZc,2026-06-22,3,b,,,,매달 소비템 영상 기다리는 이유가 있는 것 같아요.
Ugy6w-bQ0lhcsERKyq94AaABAg,C7Su0pDuUDw,2026-03-22,6,b,,토너/스킨,,스킨수티컬즈 너무 좋져 혜택도 너무 좋구요🥹❤️ 세영님 소개 넘 감사하고 앞으로도 스킨수티컬즈 꿀템 있으면 자주자주 알려주세요 !!!!!!!
UgxSu-FCtmnuvsLf8HJ4AaABAg,nGsSqaQBZZc,2026-06-22,3,b,,,,립플럼프 밤 딱 발라주면 연습실에서도 하루 종일 산뜻하고 예쁜 메이크업 유지할 수 있을 것 같아요🫶 항상 솔직하고 유익한 리뷰 영상 감사드리고 앞으로도 댓글 많이 달면서 늘 응원할게요!
Ugy4asirTsSxh0gfH7V4AaABAg,4PvnNlPTU2s,2026-05-23,1,b,,블러셔,,치크 리뷰 해주실 수 있나요❤
UgxSEhI0M3TnGdRZlmF4AaABAg,nGsSqaQBZZc,2026-06-22,0,b,,필링/스크럽,,그런데 플럼프 밤 발라주면 각질은 눌러주면서 입술 주름 커버까지 해줄 거 같아서 기대돼요!
UgwjzEVUxYifb1L7GrZ4AaABAg,WYpTVmagNtg,2026-05-22,8,b,,쿠션;클렌징,제형(스틱/쿠션/젤/밤/스프레이),오에라 쿠션도 좋치만 ..클렌징이나 헤어라인도 마켓해주세요ㅠ.ㅠ♥
Ugx5NmkxXcF10PqryPF4AaABAg,CiqhAzpMcGU,2026-05-22,6,b,,,,항상 좋은 정보 알려주셔서 감사하고 오래오래 활동해주세요❤ 진짜 늘 응원합니당!!!🍀
UgyTf4hVD8vVdbbStC14AaABAg,CiqhAzpMcGU,2026-05-22,2,b,토르홉,클렌징,,"토르홉 단백질 밀크 오일 클렌저 너무 궁금했는데 영상 보고 더 써보고 싶어졌어요 🥹🤍 평소에 클렌징하고 나면 피부가 너무 당기거나, 그렇다고 촉촉한 제품 쓰면 잔여감 남는 느낌 때문에 늘 애매했거든요!"
Ugx3dfDpjaN_cam57Ld4AaABAg,S3v5914dZ-Y,2026-07-22,50,b,,뷰티디바이스,,속에서는 잇레티놀이 재생시켜주고 겉에서는 디바이스나 괄사로 끌어올려 주면 피부과 안가도 리프팅 효과 제대로 볼 것 같아 기대됩니다ㅋㅋㅋㅋ
Ugxrqq7ttt1LwB0-8lV4AaABAg,S3v5914dZ-Y,2026-05-22,3,b,메노킨,마스크팩,,언니 메노킨 버블 마스크 리뷰 해주세요!!
Ugz5ooxLFnuW1qZ2sCB4AaABAg,S3v5914dZ-Y,2026-05-22,1,a,닥터자르트,,,닥터자르트……..괄사를 출시해줘라 ㅠㅠㅠㅠㅠ
Ugy4H0V95Mpf_SYyrM94AaABAg,GFAVDrpR-WA,2026-05-22,13,b,,립틴트/립스틱,색상/호수 확장,"주름도 자연스럽게 메워주면서 입술이 더 도톰해 보이는 게 너무 마음에 들어요…♡ 요즘 건조해서 립 표현 고민이 많았는데, 이 제품이면 촉촉+광택+컬러까지 한 번에 해결될 것 같아서 기대감 폭발이에요 💗 코랄헤이즈 잼&청 글로스를 꼭 한번 써보고 저도 탱글탱글한 ‘유리알 립'을 완성해보고 싶어요…💋💕앞으로도 다양한 콘텐츠 많이 보여주세요!"
Ugw7d1sQlbEKpVFGGfl4AaABAg,GFAVDrpR-WA,2026-05-22,13,b,,,,잼이랑 청 콘셉트도 귀엽고 색감도 예뻐서 깜짝 선물로 주면 정말 기뻐할 것 같습니다!
Ugxr3CriOTjUA_y469V4AaABAg,GFAVDrpR-WA,2026-05-22,11,b,,립틴트/립스틱,색상/호수 확장,청 글로스 3컬러는 글로우 립 위에 발라주기도 좋지만 워터 틴트나 블러 틴트를 발랐을 때 그 위에 발라주면 더 진가를 발휘할 거 같아 기대됩니당 이벤트 가져와 주셔서 감사해용 🩷
UgwRRqjwoq9o5Ttp_Pp4AaABAg,GFAVDrpR-WA,2026-05-22,9,b,네이밍,,,"네이밍센스부터 뭘 강조한건지 알수있어서 넘 좋아요,,, 영상에서 보는건데도 정말 잼처럼 쫀득하고 입술에 딱 달라붙는 광택감이 너무 예쁘더라고요!!!!"
UgwRIkCBLUoWAZTqbJR4AaABAg,obSEbcRatAw,2026-08-19,0,b,,,,사용 주기 가르쳐주실수 있나요?
UgyzhCsOT7rtI1VDSb14AaABAg,E4W0iPOQyaM,2026-04-22,1,b,,,,상의정보 궁금해요
UgzSM-Je-uFpJxdkE_54AaABAg,pCFN6eiRgjU,2026-04-22,4,b,,,,직접 써보면서 별별뷰티님 추천템 이유 제대로 느껴보고 싶어요💙💚
Ugx1mZIqH3RrTsFLKnl4AaABAg,pCFN6eiRgjU,2026-04-22,5,b,,,,앞으로도 별별뷰티만의 예쁜 뷰티 팁 많이 공유해 주세요
UgyN_kdN9gX0oFtAw-t4AaABAg,TQMQyee-8fk,2026-03-22,2,b,,에센스/세럼/앰플;크림;마스크팩,,듬뿍 발라주고 자면 피부 장벽은 케어해 주면서 다음날 화잘먹 피부 보장일 거 같아용   하나씩 살펴봐도 좋은 제품들이지만 팩클렌저-에센스-크림 조합의 시너지도 기대돼서 다
UgzFPTvJqhRF3C79WyR4AaABAg,p9b1fxmPK40,2026-03-22,5,b,,프라이머/베이스;미스트,,"메이크업 전에 가볍게 뿌려서 수분 베이스를 탄탄하게 잡아주고, 수정화장할 때도 들고 다니면서 촉촉하게 관리해보고 싶어요 ✨ 순하게 수분 보충해주면서 피부 컨디션 끌어올려주는 미스트라니… 이번 기회에 꼭 경험해보고 싶습니다 💕"
UgzeBf4zIJpPX3Z_LUF4AaABAg,p9b1fxmPK40,2026-03-22,2,b,,,,😍 앞으로도 재미있고 유익한 영상 많이 만들어주세요~
UgyPkc45pscHvMVxS3x4AaABAg,pBRb9wBVZIM,2026-03-22,1,b,,,,이벤트 놓쳐ㅛ어요ㅠㅠㅠㅠㅠ😢 다음 마켓또안하시나용..?😢
UgwDjU7_GgRj7bKqnz14AaABAg,ZNhTdtZmX64,2026-03-22,10,b,,립틴트/립스틱,,텐로지에 안쪽 립 추천해주세여
Ugy7UVHPNn8By-MfIqp4AaABAg,RnQc7U8ssg4,2026-08-21,2,b,,,,배게 커버 정보 부탁드려용
UgysnPrEV56hQNbvyE54AaABAg,4PvnNlPTU2s,2026-05-23,1,b,,,,이번에 김고은 배우 화보 메이크업 커버 해주시면 안댈까요..ㅎㅎㅎㅎ
UgyCK6H3AlzEpjU1BeF4AaABAg,4PvnNlPTU2s,2026-05-23,0,b,힌스,,,힌스 프리클 발색 보여주실때 바르신 립정보 궁금해요..ㅡ!!
UgwBbky7g_Cvub3vJ-N4AaABAg,fmOyo1DyAkg,2026-08-09,1,b,,,,"주름끼임도 중요하긴한데, 코 옆에 끼이는거 그것좀 어케할 방법 없나요?"
UgwoQEsnbpute4v-Yg94AaABAg,fmOyo1DyAkg,2026-08-12,2,b,,파운데이션,,파운데이션 추천 해주세요!!
UgxksimP2kSfsBsM3Fh4AaABAg,fmOyo1DyAkg,2026-08-22,0,b,,,,공구 언제 다시 할까요?
UgypKhiwvScfuKCRqe14AaABAg,fmOyo1DyAkg,2026-08-18,0,b,,,,공구 또 해 주세요
UgziEJYYTsPgtdRJGmR4AaABAg,fmOyo1DyAkg,2026-08-08,2,b,,선크림,,썬크림 떨어져서 사야되는데...바로 영상보자마자 매번 올려주실때마다
Ugy7Zb1UzEHN8sGlHtR4AaABAg,fmOyo1DyAkg,2026-08-08,1,b,,세트/기획,,세트 구입하려 하는데 사용 순서를 어떻게 해야할지 좀 설명 부탁드립니다
UgwMvJ5vcKt0tpLHirp4AaABAg,fmOyo1DyAkg,2026-08-11,0,b,,,,팔자주름과 처진피부에 좋은제품 추천부탁드립니다
UgybvVW6fJLgdIKPDBF4AaABAg,fmOyo1DyAkg,2026-08-09,17,b,,,,좋은 제품 계속 추천해 주세요~~~~
UgxyHLTPIqD6eYSUbFN4AaABAg,DVwc1dBVixg,2026-08-19,1,b,,,,샹테카이 마켓 해주세요~`☺️
UgwrpG2bYPfbFGcEFyN4AaABAg,DVwc1dBVixg,2026-08-19,1,b,,,,입고있는 니트 뭔지 왜 안알려줘요 ㅋㅋ
UgzJNe3NjwXjqurnHHF4AaABAg,zmztn16meIk,2026-08-20,2,b,,,가격/가성비,는 말 자주 들었어요.가격 말해주면 다들 깜짝 놀랐던 그 코트 ㅎㅎ영상에 나온 코트도 좋아보이지만 원단이 더 좋았던 코트 였어요.
UgxlyEP_1Wp6zp3DdF94AaABAg,VV5mB6GkZ3c,2026-02-22,4,b,,,,특히 수분광 케어 위주라서 꾸준히 사용하면 피부결이랑 컨디션이 좋아질 것 같아요.
UgyX1LLopbXfiYSbRlR4AaABAg,VV5mB6GkZ3c,2026-02-22,2,b,,프라이머/베이스,,특히 요즘처럼 피부가 예민하고 푸석할 때 이런 집중 케어 한 번 해주면 다음 날 화장 먹는 것도 다르잖아요… 영상 보면서 이거 하고 나면 베이스 바를 때 피부 표현이 얼마나 예쁠지 상상하게 됐어요.
UgyVbzlDUJ77_wOl4oB4AaABAg,DVwc1dBVixg,2026-08-20,0,b,,,,구독자 선물이 너무 화려해요~받으시는 분들이 정말 행복하겠어요!ㅎ항상 구독자님  생각해주시는 유리하다님~~오래오래 만나요❤좋은 제품들 소개도 많이 해주세요!
Ugz0uDLT5aJc47VOpd94AaABAg,DVwc1dBVixg,2026-08-21,0,b,,,,언니영상 꼭 챙겨봐요ㅎ 보면서 요새 이런템들이 있구나 하고 대리만족도 하구요^^ 앞으로도 꾸준히 돈써주세요ㅋ 너무 유용하고 잼있어요!!!!❤
UgznEqrVCHnDiTo0qfd4AaABAg,DVwc1dBVixg,2026-08-21,0,b,,,,또 해주세요!!
UgztQsPmBIeZDypy18l4AaABAg,EYlC4C-3svU,2026-08-17,0,b,,,,추천 부탁드립니다 ♡
Ugz8XnsgOJQhODHtox94AaABAg,DVwc1dBVixg,2026-08-20,0,b,,,,다음엔 꼭 겔랑 특집 부탁해요
UgzeKgjpyZqx7oa5Jx94AaABAg,4PvnNlPTU2s,2026-05-23,1,b,에스쁘아,블러셔,,에스쁘아 블러셔 마켓 다시 해주시면 좋겠다요……
UgxU0G-7BryFJdJNp3t4AaABAg,4PvnNlPTU2s,2026-05-23,18,b,페리페라,쿠션;블러셔,,페리페라랑 힌스 궁금 했는데 감사해용❤❤ 스코님 혹시 다음 겟레디때 퓌쿠션+에스쁘아 블러셔 조합으로 보여주실수 있으실까요오?
Ugy_zjsAVjZgdsp9fvB4AaABAg,4PvnNlPTU2s,2026-05-23,3,b,바닐라코,블러셔,,스코언니 바닐라코 소봉님이랑 공동개발하신 블러셔 그것도 리뷰해주세요ㅠㅠ
UgzRcfK3RneIUsiUsvl4AaABAg,4PvnNlPTU2s,2026-05-23,0,b,,,,언니 메컵에 헤어까지 튜토리얼 주세요
Ugxn0dvsiZkJwb4oixB4AaABAg,4PvnNlPTU2s,2026-05-23,0,b,,블러셔,,릴바레 복숭빔 최애인데 블러셔 추천 해주세요..
UgwSG01_tz_DeLNRR5V4AaABAg,4PvnNlPTU2s,2026-05-23,0,b,,립틴트/립스틱,,립 알려주세요
UgxzX9yjDeDbnKYxFP54AaABAg.AWBRP_BhFjWAWBdufFeLkT,4PvnNlPTU2s,2026-05-23,1,b,,,색상/호수 확장,저 여쿨라 19호 인데 오히려 여쿨한테 예쁘게 올라오는지 저는 코랄 또는 웜톤으로 화장했는데 좀 칙칙하다싶음 어무즈 복숭아 올려주면 상큼한 웜톤으로 바로 변신요!
UgxdQoDVLhxKyK3Xc1N4AaABAg,ofxtUU0YKWg,2026-05-23,3,b,,,,01:07 바르신 립정보 궁금해요!
Ugy1zCGsym2pnEXeNmx4AaABAg,ofxtUU0YKWg,2026-05-23,2,b,,,,영상 찍어주세용~🤗🤗
Ugw4arGCIKoQjpC5CJR4AaABAg,50igoSRnYIk,2026-05-23,3,b,맥,,,줴발 맥 러스티글래스 제형도 리뷰해주세요 ㅜㅜ
Ugx1YUDjLN7QloqBgXx4AaABAg,50igoSRnYIk,2026-06-23,1,b,,,,"궁금했던 제품인데 리뷰해주시다니,,,, 립스코 최고🙌"
UgzBTVcTw-2jfcyLqbx4AaABAg,50igoSRnYIk,2026-05-23,3,b,샤넬,,색상/호수 확장,샤넬 186 외에도 다른 2가지 색상과도 발색 비교해 주세요~
UgwpvQt-6fCJSGQwTyl4AaABAg,50igoSRnYIk,2026-05-23,3,a,올리브영,,국내출시/입점/유통,올리브영에도 나왔음 좋겠다
UgyfWgqP2Ns06EnSwEp4AaABAg,50igoSRnYIk,2026-05-23,0,b,,립틴트/립스틱,,립도 너무 예쁜데… 상의 정보 궁금해요💙💙💙💙💙
UgiifnKhrRUvQ3gCoAEC,suWxLACYxng,2016-08-22,1000,b,,,,메이크업아티스트들이 나와서 해주는 화장도 이상한거 많드만
UgyqqQy5xc4DXtz4Ird4AaABAg,fbEan9BciDo,2026-08-18,1,b,,,,언니 진짜 각잡고 파워 겨쿨 메이크업 한번만 해주실 수 있나용..?😭😭😭
Ugxo4C6WS66J05dpQ-Z4AaABAg,fbEan9BciDo,2026-08-19,0,b,,,,좋은 마음으로 말씀드린 거라는 것만 알아주시면 감사하겠습니다.
UgjCqabduEulDXgCoAEC,suWxLACYxng,2017-08-22,20,b,,,,나도 저런 메이크업 해보고싶다.
UgyGvM7-_br5xmR7u0J4AaABAg,suWxLACYxng,2021-08-22,5,b,,,,이거 편집 말고 풀 영상 없나요 ?
UgxY9Tyep147_PseWtd4AaABAg,DVwc1dBVixg,2026-08-20,1,b,,,,더로우 아스트라백이랑 테라스백 비교 리뷰 해주세요🤍 어떤거 더 추천하시나요?
UgxOM8eu9pAMbvptWL94AaABAg,DVwc1dBVixg,2026-08-20,4,b,,,,언니 오늘 입으신 니트 정보 부탁드려요
UgxNgtVCq6IFmiblQ0Z4AaABAg,DVwc1dBVixg,2026-08-21,0,b,,립틴트/립스틱,,립 정보도 주세요ㅎㅎ
Ugym_wfgj1UF9fuk3j14AaABAg,0IX6dCSvDqg,2026-08-15,5,b,,,,언니 기다렸어요 😊 골프컨텐츠도 한번 해주세요
UgybNI7ArGSBQ9Zwufh4AaABAg,0IX6dCSvDqg,2026-08-15,2,b,,,,"다음 편에는 얼굴형에따른 헤어메이크업 강의 해주세요^^^^ 저는 옆볼륨이 안어울리는데, 유리님은 이뻐서요❤"
UgytFRUFbRYrx8J4yU94AaABAg,50igoSRnYIk,2026-05-23,0,b,,,,혹시 좋은 제품 아시는 분 추천좀 해주세요 ㅎㅎ
Ugy5N8EQk7i_NE_Q-5R4AaABAg,0IX6dCSvDqg,2026-08-16,0,b,,,기능(지속/커버/보습/미백 등),꽁돈 생겼는데 이백마넌 이하 살만한 명품이나 오래가는거 추천 부탁드려요
UgziW_M3QPvIKtLAQBd4AaABAg,0IX6dCSvDqg,2026-08-16,0,b,,,,시계정보알고싶어요^^
UgzLMTvwTKz7JiBMx0N4AaABAg,0IX6dCSvDqg,2026-08-16,0,b,,,,착용하신반지정보 궁금해요~~
UgzSAnvf54WbFDUyBQx4AaABAg,0IX6dCSvDqg,2026-08-16,0,b,,,,영상에 차고나오신 시계 너무 반짝 거리는데 정보 부탁드려용 ㅎㅎ
UgymNTWrTK_PBSjTEh54AaABAg,0IX6dCSvDqg,2026-08-15,7,b,,,,유리님 사진 보여주고 잘라달라고 했는데...😂😂😂 걍~~~
UgzKVSqHyqH8f5rATsx4AaABAg,0IX6dCSvDqg,2026-08-18,0,b,,파운데이션,,^^상테카이 공구에 파운데이션도 해주세요^^~~
UgzrIwLNmjzUoTXU0jN4AaABAg,0IX6dCSvDqg,2026-08-15,0,b,,,,어디껀지 알려주세요😊
Ugx4Yo7DPfKHD1Mzk3J4AaABAg,0IX6dCSvDqg,2026-08-15,1,b,,토너/스킨,,"요즘 인스타에서  자꾸 뜨는 힙업 ems 패드 실제 효과, 추천제품등을 다뤄주실 수 있으실까요?~"
UgzpJ2nNLFmIuL88yGd4AaABAg,0IX6dCSvDqg,2026-08-15,2,b,,,,언제 한번 헤어스타일링 어떻게 하시는지도 알려주세요~
UgyJ_IC9YiCB4eR6XuB4AaABAg,0IX6dCSvDqg,2026-08-16,0,b,,,,라티브 올레샷은 혹시 공구 안하실까요
UgxjXyKMo82aKb5szll4AaABAg,0IX6dCSvDqg,2026-08-15,0,b,,,,기대합니다😊  이에르로르 귀걸이도 구매 후 기다리고 있어요.^^ 지금 착용한 귀걸이도 예쁜데 정보 부탁드려도 될까요?
Ugw70JXh0pc3s1hPXt14AaABAg,0IX6dCSvDqg,2026-08-15,0,b,,,,브라구매 하고싶은데여 사이즈가 고민이여서여 구매하신 브라 사이즈 알려주실수 있나여?같은 사이즈로 구매하고 싶어서요😊
Ugzik7ExVFbBPBNdqQR4AaABAg,ABSaNadvMHo,2025-12-22,22,b,로레알,마스크팩;샴푸/린스/트리트먼트;헤어스타일링,,"로레알 담당자가 보고 계시다면 염색약이나 샴푸, 헤어팩은 몰라도 피부에 흡수되는 기초 색조류는 원산지에 신경써주세요."
Ugw_OnDFjo0PMHstUe14AaABAg,0IX6dCSvDqg,2026-08-20,0,b,,,,초록은 색감이 영상하고 달라 실망 ㅠ
UgyFQIaHGlqOwbkz2UB4AaABAg,j7djibRcdkE,2026-02-22,3,b,,,,쇼핑 많이해주세용
UgypF7uS4QOOb02pl7t4AaABAg,IjPjUlS3qfI,2026-08-08,4,a,,,,이가방 만들어주세요 ㅎㅎ
Ugy_fwvdxcDMu9Rp-xV4AaABAg,IjPjUlS3qfI,2026-08-08,0,b,,,,더로우 백 넘 이뻐요!!!언니 귀걸이 정보 부탁드려두 될까요??
UgwS95TjMR2pSpOVJfp4AaABAg,IjPjUlS3qfI,2026-08-08,0,b,,,,셀카찍던날 입으신 줄무늬 티셔츠 정보좀 부탁드려요❤
UgyNvHjM7w5pR1W50Z94AaABAg,IjPjUlS3qfI,2026-08-08,0,b,,,,백 넘예ㅠㅠ안경정보도 부탁드려도 될까요오
UgzmPa-KWcEHJ_wXdgB4AaABAg,IjPjUlS3qfI,2026-08-08,0,b,,,,가디건 정보 궁금해요
UgySH4YYfBZpNSP4kYZ4AaABAg.A_4qYybaL3EA_5kVelmXgo,p8tY81ssP4I,2026-08-08,2,b,,,,뷰민님 또 해주세요 ❤❤❤ ㅎㅎ
Ugz9BNnXgPfXIMYYeYR4AaABAg,p8tY81ssP4I,2026-08-08,6,b,,,,또 해주세요
UgzSFd-xTcIv4Eu4NKl4AaABAg,p8tY81ssP4I,2026-08-08,3,b,,,,역대 출연 쇼호스트님들 다같이 나오는 콘텐츠 보고싶어요 ㅋㅋㅋ
UgwlbsEaDFftFhEK7np4AaABAg,p8tY81ssP4I,2026-08-08,0,b,,,,정민님 레이어드한 올리브색 탑 정보 궁금해요!!
UgxxJNqzBaW-6T_qeMx4AaABAg,p8tY81ssP4I,2026-08-09,0,b,,뷰티디바이스,계절/기후,근데 요즘 잡티 제거에 좋다는 LG 프라엘 멜라빔 토닝 디바이스도 사용해 보시고 알려주시면 안되나요?🤗  넘 궁금한데 유리님 후기는 믿고 살 수 있을꺼 같아요 😆🫶👍 날씨 많이 더운데 건강 잘 챙기시구요❤️
UgzNPjESaFQXTXURoER4AaABAg,p8tY81ssP4I,2026-08-08,0,b,,,색상/호수 확장,정민님 화이트 티 정보 좀 주실 수 있나요?
UgzdMSFkkebcCzqlk-p4AaABAg,p8tY81ssP4I,2026-08-10,0,b,,,,상의 정보도 알려주세요
UgxEBf3Wr0pys5_sknl4AaABAg,p8tY81ssP4I,2026-08-08,1,b,,에센스/세럼/앰플,,엘릭시르세럼공구 제발또빨리좀해주셔요.
UgzRWgN8_fdxTwXeDPV4AaABAg,50igoSRnYIk,2026-05-23,13,b,,,,역시 안 묻어난다는 리뷰 말고 스코님의 찐사용 리뷰 보고싶었어요!
UgxzyuZQ3wmp-zs9Zn94AaABAg,50igoSRnYIk,2026-05-23,0,b,,,,목걸이 정보 궁금해요!!
UgxFHGh5Wl0vNxvl5814AaABAg,p8tY81ssP4I,2026-08-08,1,b,,,,이에르로르 공구 언제쯤 하나요?
UgyL03YKaD1hLhhfCRp4AaABAg,50igoSRnYIk,2026-05-23,1,b,넘버즈인,,,민스코님 올해는 넘버즈인마켓안하나요ㅠㅠㅠ😢
UgxSieu4tai4WKsdXeJ4AaABAg,50igoSRnYIk,2026-05-23,0,b,,,,샤넬이랑 라카랑 색깔 비교도 궁금해요😆
UgwEk7kATZnXvy_QCvN4AaABAg,50igoSRnYIk,2026-05-23,21,a,,,색상/호수 확장;국내출시/입점/유통,오랜 코덕 입장에서😳😳라카가 요즘에 트랜디하게 나오는 컬러 느낌이기도 하고 글로스 바르니까 또 다른 느낌으로 너무 예뻐서 정식 출시되면 사야겠어요..영업당했네 나..🎀💗
UgyCqDhraC7Cxdc1Nx14AaABAg,50igoSRnYIk,2026-05-23,2,b,,,,최소한 색조 뭐 사용하셨는지 만이라도 알려주실 수 있나요?
UgzvnHZgergy6WxjZ094AaABAg,50igoSRnYIk,2026-05-23,0,b,,,,메이크업 너무 사람이 고급져보여요....제발 말아주세요
Ugy3-pE7ifRyQ0Q6z_94AaABAg.A_4nGFMxDaWA_4s1u93c8P,p8tY81ssP4I,2026-08-08,2,b,,,,자주자주 와주세요
UgxhzR6HJ4mPAcHI8px4AaABAg,p8tY81ssP4I,2026-08-10,0,b,,,,소개해주시는 것들중 제게 필요한것을   공구해주실때는 감사하게 동참을 하곤 하지요
UgzEmV8EKvrSSg24z014AaABAg,p8tY81ssP4I,2026-08-08,1,b,,,,알려주세요~~저 며칠후에 중요한 결혼식가는데 너무 참고하고싶어요!
Ugx5taHl6NrKNojHKJ54AaABAg,tGvcOQU1YFQ,2026-05-23,1,b,,,,후니오빠가 하고싶은 얘기들 앞으로도 팍팍 해주셔요!!
UgwnLmfHBTCVMpWotvZ4AaABAg,p8tY81ssP4I,2026-08-08,0,b,,,,8월 마켓일정 어떻게 되나요?
UgyRMrkFjdy9FsP-4dd4AaABAg,CETy-Gebm6A,2026-08-11,1,b,,,,이에르로르 사서 착용하고 너무 만족해서 공구 언제해주시려나 했는데 오늘오픈이라뇨!!!!!!!!!!!!
UgwfkqJR43Dhtowxqpt4AaABAg,jmcA9m3vsQU,2026-04-22,14,b,,,,촬영하는동안 피디님이 꿀팁을 많이 달라고 하셔서 최대한 많이 드리려고 꽉꽉 내용 담았습니다
UgyS_2WcI0jEuuaHGyx4AaABAg,CZOmMOue4r0,2025-08-22,9,b,,,,이 시리즈로 계속 부탁드립니다!!!
Ugz4VYPhm4eCeXc9LMR4AaABAg,CZOmMOue4r0,2025-08-22,9,a,,세트/기획,,저런 키트로 나오면 좋겠어요
Ugy52MAO4sOT_nUnBld4AaABAg,CETy-Gebm6A,2026-08-11,0,b,,,,남자가 끼기 좋은 반지 추천좀 해주세요!
UgyCNDTE63OgqBxk1xp4AaABAg,GrwaK28m3xo,2026-08-16,0,b,에이프릴스킨,토너/스킨;에센스/세럼/앰플,,에이프릴스킨 앰플은 마켓 다시 안하시나여..ㅠㅠㅠ
Ugwfh8Zl1zV_DIF9DnV4AaABAg,tc-HSUNubho,2026-04-22,1,b,,토너/스킨;에센스/세럼/앰플,,토너랑 앰플 좀 올려주세요~~
UgyYUHmBfLpDzOynriZ4AaABAg,hMh3Mmq48dM,2025-12-22,0,b,,,,정보 부탁드려용!!
UgyU4wcUWt-uck44AQh4AaABAg,hMh3Mmq48dM,2025-11-22,0,b,,,,상의 정보 궁금해요😢❤
UgzDJhJqbMkIw1EkOAV4AaABAg,hMh3Mmq48dM,2025-11-22,0,b,,샴푸/린스/트리트먼트,,와… 언니 설명 듣는데 제 두피도 같이 시원해지는 느낌이에요..!
Ugy0u4KUsrKpo5njLiR4AaABAg,hMh3Mmq48dM,2025-11-22,0,b,,,,요즘 광고에 뜨기도 하고 궁금해서 살까말까 고민했는데 언니가 찐템이라고 추천해주시다니!!
